step,top1_miss,ema_miss,top1_acc,flip_penalty,median_rel_margin,flip_severity
96,0.590332,0.589576,0.409668,0.417969,1.132812,1.554688
97,0.573242,0.587943,0.426758,0.388672,1.031250,1.421875
98,0.593750,0.588524,0.406250,0.410156,1.218750,1.343750
99,0.575195,0.587191,0.424805,0.412109,1.000000,1.460938
100,0.582520,0.586724,0.417480,0.386719,1.132812,1.281250
101,0.565918,0.584643,0.434082,0.460938,0.855469,1.851562
102,0.576172,0.583796,0.423828,0.427734,0.968750,1.679688
103,0.562012,0.581618,0.437988,0.396484,1.109375,1.390625
104,0.604492,0.583905,0.395508,0.412109,1.242188,1.382812
105,0.567871,0.582302,0.432129,0.433594,1.000000,1.539062
106,0.562500,0.580322,0.437500,0.386719,1.164062,1.382812
107,0.574219,0.579711,0.425781,0.378906,1.242188,1.070312
108,0.588867,0.580627,0.411133,0.425781,1.000000,1.492188
109,0.594727,0.582037,0.405273,0.429688,1.000000,1.421875
110,0.569824,0.580816,0.430176,0.406250,0.832031,1.554688
111,0.533691,0.576103,0.466309,0.345703,1.148438,1.101562
112,0.586426,0.577135,0.413574,0.421875,1.039062,1.445312
113,0.565430,0.575965,0.434570,0.417969,1.000000,1.656250
114,0.649414,0.583310,0.350586,0.498047,0.945312,2.156250
115,0.581543,0.583133,0.418457,0.429688,0.906250,1.492188
116,0.585449,0.583365,0.414551,0.376953,1.429688,1.218750
117,0.565430,0.581571,0.434570,0.365234,1.164062,1.203125
118,0.583008,0.581715,0.416992,0.410156,1.062500,1.367188
119,0.579102,0.581454,0.420898,0.416016,1.039062,1.460938
120,0.569824,0.580291,0.430176,0.367188,1.187500,1.125000
121,0.551758,0.577437,0.448242,0.363281,1.187500,1.101562
122,0.551758,0.574869,0.448242,0.367188,1.164062,1.085938
123,0.561035,0.573486,0.438965,0.367188,1.351562,1.179688
124,0.598145,0.575952,0.401855,0.408203,1.109375,1.437500
125,0.590820,0.577439,0.409180,0.392578,1.242188,1.312500
126,0.593262,0.579021,0.406738,0.386719,1.335938,1.382812
127,0.575195,0.578638,0.424805,0.388672,1.148438,1.265625
128,0.605469,0.581321,0.394531,0.421875,1.289062,1.523438
129,0.602539,0.583443,0.397461,0.400391,1.187500,1.515625
130,0.531250,0.578224,0.468750,0.367188,1.054688,1.281250
131,0.508789,0.571280,0.491211,0.328125,1.140625,1.031250
132,0.554688,0.569621,0.445312,0.410156,0.941406,1.453125
133,0.526855,0.565345,0.473145,0.375000,1.000000,1.109375
134,0.538086,0.562619,0.461914,0.384766,1.132812,1.265625
135,0.574707,0.563828,0.425293,0.443359,1.023438,1.601562
136,0.590332,0.566478,0.409668,0.460938,0.878906,1.695312
137,0.544434,0.564274,0.455566,0.355469,1.101562,1.226562
138,0.583008,0.566147,0.416992,0.439453,1.046875,1.742188
139,0.597168,0.569249,0.402832,0.431641,1.085938,1.664062
140,0.522949,0.564619,0.477051,0.353516,1.140625,1.085938
141,0.533691,0.561526,0.466309,0.333984,1.218750,1.070312
142,0.534180,0.558792,0.465820,0.361328,1.187500,1.156250
143,0.546875,0.557600,0.453125,0.402344,0.921875,1.421875
144,0.616211,0.563461,0.383789,0.496094,0.855469,1.835938
145,0.512695,0.558385,0.487305,0.369141,0.953125,1.179688
146,0.534668,0.556013,0.465332,0.351562,1.164062,1.187500
147,0.539551,0.554367,0.460449,0.398438,0.738281,1.523438
148,0.523926,0.551323,0.476074,0.347656,1.218750,1.125000
149,0.534180,0.549608,0.465820,0.361328,1.171875,1.179688
150,0.514160,0.546063,0.485840,0.328125,1.148438,1.039062
151,0.511230,0.542580,0.488770,0.337891,1.085938,1.070312
152,0.500488,0.538371,0.499512,0.339844,1.000000,0.988281
153,0.546387,0.539173,0.453613,0.371094,1.234375,1.296875
154,0.542969,0.539552,0.457031,0.353516,1.187500,1.101562
155,0.527832,0.538380,0.472168,0.376953,0.925781,1.328125
156,0.553711,0.539913,0.446289,0.371094,1.203125,1.132812
157,0.549316,0.540854,0.450684,0.357422,1.203125,1.132812
158,0.530273,0.539796,0.469727,0.392578,0.941406,1.250000
159,0.522949,0.538111,0.477051,0.357422,1.101562,1.257812
160,0.488281,0.533128,0.511719,0.330078,0.855469,1.117188
161,0.566406,0.536456,0.433594,0.394531,0.925781,1.351562
162,0.519043,0.534714,0.480957,0.351562,1.132812,1.148438
163,0.516602,0.532903,0.483398,0.361328,1.085938,1.117188
164,0.505371,0.530150,0.494629,0.341797,1.085938,1.109375
165,0.500977,0.527233,0.499023,0.353516,1.000000,1.078125
166,0.548340,0.529343,0.451660,0.351562,1.187500,1.140625
167,0.532715,0.529681,0.467285,0.388672,0.941406,1.218750
168,0.520508,0.528763,0.479492,0.369141,1.000000,1.265625
169,0.551270,0.531014,0.448730,0.388672,1.070312,1.359375
170,0.588379,0.536750,0.411621,0.417969,1.109375,1.484375
171,0.550781,0.538153,0.449219,0.406250,0.910156,1.382812
172,0.526855,0.537024,0.473145,0.376953,1.093750,1.210938
173,0.509766,0.534298,0.490234,0.345703,1.054688,1.078125
174,0.540039,0.534872,0.459961,0.380859,0.949219,1.257812
175,0.530762,0.534461,0.469238,0.335938,1.265625,1.054688
176,0.516602,0.532675,0.483398,0.353516,1.023438,1.132812
177,0.539062,0.533314,0.460938,0.375000,1.046875,1.164062
178,0.518555,0.531838,0.481445,0.349609,1.164062,1.085938
179,0.549805,0.533635,0.450195,0.382812,1.101562,1.203125
180,0.490234,0.529295,0.509766,0.332031,1.023438,1.023438
181,0.552246,0.531590,0.447754,0.408203,0.890625,1.421875
182,0.473633,0.525794,0.526367,0.349609,0.871094,1.070312
183,0.496582,0.522873,0.503418,0.359375,0.960938,0.984375
184,0.519531,0.522539,0.480469,0.330078,1.289062,0.960938
185,0.534180,0.523703,0.465820,0.355469,1.164062,0.980469
186,0.532715,0.524604,0.467285,0.353516,1.015625,1.210938
187,0.549805,0.527124,0.450195,0.388672,1.000000,1.375000
188,0.523926,0.526804,0.476074,0.349609,1.054688,1.101562
189,0.479004,0.522024,0.520996,0.332031,1.054688,1.046875
190,0.487305,0.518552,0.512695,0.333984,0.890625,1.007812
191,0.545410,0.521238,0.454590,0.351562,1.164062,1.070312
192,0.561035,0.525218,0.438965,0.373047,1.187500,1.148438
193,0.545898,0.527286,0.454102,0.363281,1.335938,1.132812
