0	0.6154083610	0.3880420923	0.0085792989	0.0033251652
1	0.6048136950	0.3970209956	0.0059785587	0.0023163310
2	0.5934571028	0.4137473106	0.0037288496	0.0009477456
3	0.5947992802	0.4101471007	0.0042611328	0.0012330003
4	0.5996599197	0.4060346484	0.0048774746	0.0015935875
5	0.6005168557	0.4039601088	0.0056821066	0.0017985554
6	0.6074100733	0.3970766366	0.0072924900	0.0024920392
7	0.6181599498	0.3893447518	0.0097567048	0.0034873467
8	0.6210452318	0.3870919645	0.0104035940	0.0036964272
9	0.6299049854	0.3759176135	0.0129321385	0.0054414356
10	0.6471959352	0.3596280813	0.0178831760	0.0086178873
11	0.6540145874	0.3510382473	0.0196136571	0.0110410219
12	0.6649328470	0.3459305465	0.0232474618	0.0125328824
13	0.6833011508	0.3319434226	0.0282629095	0.0165488515
14	0.6936532855	0.3212785423	0.0333085060	0.0202714391
15	0.7208703160	0.2995447814	0.0444555692	0.0323897451
16	0.7296624780	0.2917976081	0.0483768657	0.0350164287
17	0.7550610900	0.2772475779	0.0588301495	0.0440585613
18	0.7844532132	0.2565597892	0.0720500648	0.0585422106
19	0.8068719506	0.2436671406	0.0846162215	0.0694452822
20	0.8231261969	0.2258054018	0.0950076357	0.0873935819
21	0.8360912800	0.2116499394	0.1038896888	0.1024209112
22	0.8613710403	0.1957472414	0.1186304986	0.1217530370
23	0.8746947646	0.1885424107	0.1257724166	0.1285234392
24	0.8929104209	0.1786954552	0.1371601671	0.1431299895
25	0.9053377509	0.1685823351	0.1448929757	0.1583290994
26	0.9153273702	0.1585157514	0.1517233700	0.1749816239
27	0.9408797026	0.1387717128	0.1698531210	0.2184128910
28	0.9520649910	0.1208868921	0.1784989089	0.2589290142
29	0.9790202975	0.0909345895	0.1978106797	0.3373650908
30	1.0024378300	0.0633426979	0.2148247510	0.3939731121
31	1.0168474913	0.0409554206	0.2287696451	0.4339694381
