0	0.5943455696	0.3822558224	-0.0192044619	0.0015354286
1	0.5824840069	0.3901772499	-0.0228951015	0.0009925779
2	0.5742131472	0.4066005647	-0.0180156063	0.0004467923
3	0.5714436769	0.4007418454	-0.0241222773	0.0005461493
4	0.5719922781	0.3969099522	-0.0268011130	0.0006632755
5	0.5746094584	0.3950744569	-0.0261981077	0.0007592023
6	0.5786551237	0.3881550133	-0.0285412259	0.0010433908
7	0.5814347863	0.3783027232	-0.0362716839	0.0014471590
8	0.5894075036	0.3787114918	-0.0279388521	0.0016359164
9	0.5927062631	0.3675319552	-0.0345517322	0.0022129971
10	0.6008796692	0.3526902497	-0.0394640267	0.0032582884
11	0.6073310375	0.3490558267	-0.0358944945	0.0038288415
12	0.6161805391	0.3458958268	-0.0316332243	0.0043485141
13	0.6200085878	0.3331502676	-0.0381863154	0.0055805882
14	0.6282457709	0.3237625360	-0.0381915830	0.0064890562
15	0.6260833740	0.3061484396	-0.0548468828	0.0079085585
16	0.6284675002	0.2970685363	-0.0606508553	0.0089569828
17	0.6391677260	0.2876288295	-0.0587276593	0.0105172526
18	0.6425854564	0.2728354633	-0.0674519017	0.0127049349
19	0.6443284750	0.2580760121	-0.0786603242	0.0143055795
20	0.6487380862	0.2470405400	-0.0827344581	0.0161600169
21	0.6552519798	0.2369531393	-0.0844016746	0.0177750457
22	0.6641514301	0.2248870432	-0.0869629756	0.0200015176
23	0.6737143397	0.2198199332	-0.0833229274	0.0214618444
24	0.6799125671	0.2120861858	-0.0848309994	0.0229694489
25	0.6887243986	0.2070799768	-0.0786797777	0.0244007092
26	0.6973292828	0.2019284666	-0.0740953758	0.0257769059
27	0.7027612329	0.1868360341	-0.0819694549	0.0278146733
28	0.7091874480	0.1739425212	-0.0865020305	0.0293153450
29	0.7186208367	0.1427599490	-0.1040585116	0.0317019448
30	0.7621294260	0.1108043045	-0.0904096961	0.0342319757
31	0.8135839105	0.0714682713	-0.0795807019	0.0342832245
